Filename,Original Phrase,Rearranged Phrase,Target Word,Reversed,Position,Hamming Distance,Context,Original Window,Variation Window,Similarity,Euclidean Distance,Token
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal renal failure, vascular peripheral disease. transplant, insulin dependent diabetes mellitus and",0.6015105,11.965526,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, renal vascular peripheral disease. mellitus insulin dependent diabetes transplant, and",0.67036235,11.610022,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, dependent vascular peripheral disease. transplant, insulin renal diabetes mellitus and",0.6818918,10.614512,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, transplant, vascular peripheral disease. renal insulin dependent diabetes mellitus and",0.61971694,11.601731,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","includes illness present renal failure, renal vascular peripheral disease. transplant, insulin dependent diabetes mellitus and",0.6791043,11.369165,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present dependent includes renal failure, renal vascular peripheral disease. transplant, insulin illness diabetes mellitus and",0.67307705,11.580771,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, insulin vascular peripheral disease. transplant, renal dependent diabetes mellitus and",0.7116496,10.01863,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present insulin includes renal failure, renal vascular peripheral disease. transplant, illness dependent diabetes mellitus and",0.6726888,11.623392,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","dependent illness includes renal failure, renal vascular peripheral disease. transplant, insulin present diabetes mellitus and",0.6731515,11.517399,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,2,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present and includes renal failure, renal vascular peripheral disease. transplant, insulin dependent diabetes mellitus illness",0.67897916,11.420859,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,3,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","diabetes illness present renal failure, renal vascular peripheral disease. transplant, insulin dependent includes mellitus and",0.6739495,11.554122,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,3,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal insulin renal vascular peripheral disease. transplant, and dependent diabetes mellitus failure,",0.69476646,11.072877,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,3,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal and renal vascular peripheral disease. transplant, failure, dependent diabetes mellitus insulin",0.65222406,12.08595,['vascular']
Note_7_long.txt,peripheral vascular disease.,vascular peripheral disease.,vascular,False,0,3,"present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and","present illness includes renal failure, renal transplant, insulin dependent diabetes mellitus and peripheral vascular disease.","present illness includes renal failure, renal vascular peripheral disease. dependent transplant, insulin diabetes mellitus and",0.6747123,11.495777,['vascular']
